snapshot_date,curve_date,forward_date,rate
2026-03-17,2026-03-09T16:00:00,2026-03-11T00:00:00,0.0373396
2026-03-17,2026-03-09T16:00:00,2026-04-13T00:00:00,0.0372633
2026-03-17,2026-03-09T16:00:00,2026-05-11T00:00:00,0.0372157
2026-03-17,2026-03-09T16:00:00,2026-06-11T00:00:00,0.0371938
2026-03-17,2026-03-09T16:00:00,2026-07-13T00:00:00,0.0372171
2026-03-17,2026-03-09T16:00:00,2026-08-11T00:00:00,0.0372648
2026-03-17,2026-03-09T16:00:00,2026-09-11T00:00:00,0.0373248
2026-03-17,2026-03-09T16:00:00,2026-10-12T00:00:00,0.0373864
2026-03-17,2026-03-09T16:00:00,2026-11-11T00:00:00,0.0374459
2026-03-17,2026-03-09T16:00:00,2026-12-11T00:00:00,0.0375093
2026-03-17,2026-03-09T16:00:00,2027-01-11T00:00:00,0.0376043
2026-03-17,2026-03-09T16:00:00,2027-02-11T00:00:00,0.0377017
2026-03-17,2026-03-09T16:00:00,2027-03-11T00:00:00,0.0378099
2026-03-17,2026-03-09T16:00:00,2027-04-12T00:00:00,0.0379124
2026-03-17,2026-03-09T16:00:00,2027-05-11T00:00:00,0.0380022
2026-03-17,2026-03-09T16:00:00,2027-06-11T00:00:00,0.038091
2026-03-17,2026-03-09T16:00:00,2027-07-12T00:00:00,0.0381573
2026-03-17,2026-03-09T16:00:00,2027-08-11T00:00:00,0.0382184
2026-03-17,2026-03-09T16:00:00,2027-09-13T00:00:00,0.038273
2026-03-17,2026-03-09T16:00:00,2027-10-11T00:00:00,0.0383144
2026-03-17,2026-03-09T16:00:00,2027-11-11T00:00:00,0.0383491
2026-03-17,2026-03-09T16:00:00,2027-12-13T00:00:00,0.0383724
2026-03-17,2026-03-09T16:00:00,2028-01-11T00:00:00,0.0383883
2026-03-17,2026-03-09T16:00:00,2028-02-11T00:00:00,0.0383964
2026-03-17,2026-03-09T16:00:00,2028-03-13T00:00:00,0.0384116
2026-03-17,2026-03-09T16:00:00,2028-04-11T00:00:00,0.0384236
2026-03-17,2026-03-09T16:00:00,2028-05-11T00:00:00,0.0384469
2026-03-17,2026-03-09T16:00:00,2028-06-12T00:00:00,0.0384742
2026-03-17,2026-03-09T16:00:00,2028-07-11T00:00:00,0.0385042
2026-03-17,2026-03-09T16:00:00,2028-08-11T00:00:00,0.0385473
2026-03-17,2026-03-09T16:00:00,2028-09-11T00:00:00,0.0385826
2026-03-17,2026-03-09T16:00:00,2028-10-11T00:00:00,0.0386314
2026-03-17,2026-03-09T16:00:00,2028-11-13T00:00:00,0.0386895
2026-03-17,2026-03-09T16:00:00,2028-12-11T00:00:00,0.0387408
2026-03-17,2026-03-09T16:00:00,2029-01-11T00:00:00,0.038803
2026-03-17,2026-03-09T16:00:00,2029-02-12T00:00:00,0.0388776
2026-03-17,2026-03-09T16:00:00,2029-03-12T00:00:00,0.0389455
2026-03-17,2026-03-09T16:00:00,2029-04-11T00:00:00,0.0390141
2026-03-17,2026-03-09T16:00:00,2029-05-11T00:00:00,0.0390957
2026-03-17,2026-03-09T16:00:00,2029-06-11T00:00:00,0.039164
2026-03-17,2026-03-09T16:00:00,2029-07-11T00:00:00,0.0392369
2026-03-17,2026-03-09T16:00:00,2029-08-13T00:00:00,0.0393179
2026-03-17,2026-03-09T16:00:00,2029-09-11T00:00:00,0.0393869
2026-03-17,2026-03-09T16:00:00,2029-10-11T00:00:00,0.039464
2026-03-17,2026-03-09T16:00:00,2029-11-12T00:00:00,0.0395448
2026-03-17,2026-03-09T16:00:00,2029-12-11T00:00:00,0.0396119
2026-03-17,2026-03-09T16:00:00,2030-01-11T00:00:00,0.0396931
2026-03-17,2026-03-09T16:00:00,2030-02-11T00:00:00,0.0397761
2026-03-17,2026-03-09T16:00:00,2030-03-11T00:00:00,0.0398551
2026-03-17,2026-03-09T16:00:00,2030-04-11T00:00:00,0.0399391
2026-03-17,2026-03-09T16:00:00,2030-05-13T00:00:00,0.0400394
2026-03-17,2026-03-09T16:00:00,2030-06-11T00:00:00,0.0401288
2026-03-17,2026-03-09T16:00:00,2030-07-11T00:00:00,0.040225
2026-03-17,2026-03-09T16:00:00,2030-08-12T00:00:00,0.0403318
2026-03-17,2026-03-09T16:00:00,2030-09-11T00:00:00,0.0404323
2026-03-17,2026-03-09T16:00:00,2030-10-11T00:00:00,0.0405506
2026-03-17,2026-03-09T16:00:00,2030-11-11T00:00:00,0.0406575
